id,value,feed_id,created_at,lat,lon,ele
0EADVYMJV17HHBN1BVKAGAKSPK,"32.6,32.3,32.1,33.1,32.5,33.7,32.0,,40.3,,34.9, , 37.1,58.4,995.4,491.0,146.4",1235641,2019-12-01 02:01:31 UTC,,,
0EADVYS4ZPSCPPAC49JKHH36SK,"32.6,32.3,32.1,33.1,32.5,33.7,31.9,,40.2,,34.9, , 37.1,58.6,995.4,490.5,146.9",1235641,2019-12-01 02:01:46 UTC,,,
0EADVYXQFQT88ZZEDHCC91ZB3C,"32.6,32.3,32.1,33.2,32.5,33.7,31.9,,40.2,,34.9, , 37.0,58.7,995.4,490.5,146.9",1235641,2019-12-01 02:02:01 UTC,,,
0EADVZ2A1XH15V8J7WKWR2YM7D,"32.6,32.3,32.1,33.2,32.5,33.8,32.0,,40.2,,34.8, , 37.0,58.8,995.4,490.5,147.3",1235641,2019-12-01 02:02:16 UTC,,,
0EADVZ6WAYFSTK1T9KN3XFG6C9,"32.6,32.3,32.1,33.2,32.5,33.7,32.0,,40.1,,34.9, , 37.0,58.9,995.4,490.5,147.5",1235641,2019-12-01 02:02:31 UTC,,,
0EADVZBEW6BAH4Z2ZPYRWJZKM8,"32.6,32.3,32.1,33.2,32.5,33.8,31.9,,40.1,,34.9, , 36.9,59.1,995.4,490.5,147.5",1235641,2019-12-01 02:02:46 UTC,,,
0EADVZG1EGKF12HKQS6EK3TS9D,"32.6,32.3,32.1,33.2,32.6,33.8,32.0,,40.1,,34.9, , 36.9,59.1,995.4,489.9,148.3",1235641,2019-12-01 02:03:01 UTC,,,
0EADVZMKVSXD6ZD2B7SZR43XS0,"32.6,32.3,32.2,33.1,32.5,33.8,32.0,,40.1,,34.9, , 36.8,59.2,995.4,491.0,147.9",1235641,2019-12-01 02:03:16 UTC,,,
0EADVZS6610BPRR0JQKH1KAYHW,"32.6,32.3,32.1,33.2,32.5,33.7,32.0,,40.0,,34.8, , 36.8,59.3,995.4,490.5,148.3",1235641,2019-12-01 02:03:31 UTC,,,
0EADVZXRQMATJZCZVMJR1A4AHY,"32.6,32.3,32.1,33.2,32.5,33.8,32.0,,40.0,,34.8, , 36.8,59.4,995.4,491.6,148.3",1235641,2019-12-01 02:03:46 UTC,,,
0EADW02BV699PNYB52K1KPNH9C,"32.6,32.3,32.1,33.2,32.5,33.8,32.0,,40.0,,34.8, , 36.7,59.5,995.4,491.0,148.6",1235641,2019-12-01 02:04:01 UTC,,,
0EADW06XQZ7DXKM6RJT25Y31BG,"32.6,32.3,32.1,33.2,32.5,33.8,32.0,,40.0,,34.8, , 36.7,59.6,995.4,491.0,148.6",1235641,2019-12-01 02:04:16 UTC,,,
0EADW0BG9MXBM5HF82C06WC5A5,"32.6,32.3,32.1,33.2,32.6,33.8,32.0,,40.0,,34.8, , 36.6,59.6,995.4,491.0,148.3",1235641,2019-12-01 02:04:31 UTC,,,
0EADW0G2KNJPHCDH8WSR4FAGF7,"32.8,32.3,32.1,33.2,32.5,33.8,32.0,,40.0,,34.9, , 36.6,59.7,995.4,491.0,148.6",1235641,2019-12-01 02:04:46 UTC,,,
0EADW0MN5V75SZ80SHK15M96FK,"32.6,32.3,32.1,33.2,32.5,33.8,32.0,,39.9,,34.9, , 36.6,59.8,995.4,491.0,149.0",1235641,2019-12-01 02:05:01 UTC,,,
0EADW0S7JX1E589TSMRN4GWY1Q,"32.6,32.3,32.2,33.2,32.5,33.8,32.0,,39.8,,34.9, , 36.5,59.8,995.3,491.6,148.8",1235641,2019-12-01 02:05:16 UTC,,,
0EADW0XT8B3AAMT62HWYP0EH2K,"32.8,32.3,32.1,33.2,32.5,33.8,32.0,,39.9,,34.9, , 36.5,59.8,995.3,491.6,149.0",1235641,2019-12-01 02:05:31 UTC,,,
0EADW12CQWD0954MMDK2C6WA7F,"32.6,32.3,32.2,33.2,32.6,33.8,32.0,,40.0,,34.9, , 36.4,59.8,995.3,492.2,148.7",1235641,2019-12-01 02:05:46 UTC,,,
0EADW16Z93FX7EZNFF9NANXTAR,"32.6,32.3,32.2,33.2,32.5,33.8,32.0,,40.0,,34.9, , 36.4,60.0,995.3,493.0,148.4",1235641,2019-12-01 02:06:01 UTC,,,
0EADW1BHRT4HFR4P128M67FTS9,"32.6,32.5,32.2,33.2,32.6,33.8,32.0,,40.0,,34.9, , 36.4,60.1,995.3,493.5,148.0",1235641,2019-12-01 02:06:16 UTC,,,
0EADW1G40KQRYRCAGF9J399SA0,"32.6,32.3,32.2,33.2,32.5,33.8,32.0,,40.0,,35.0, , 36.3,60.2,995.3,494.1,148.2",1235641,2019-12-01 02:06:31 UTC,,,
0EADW1MPJC23BYXSX1A1WJ81GM,"32.8,32.5,32.2,33.2,32.6,33.8,32.0,,39.9,,34.9, , 36.3,60.3,995.2,494.6,149.4",1235641,2019-12-01 02:06:46 UTC,,,
0EADW1S9A01JZCJ8RB0ZHJ6VSX,"32.6,32.5,32.1,33.2,32.5,33.8,32.3,,39.9,,35.0, , 36.3,60.3,995.2,494.6,149.1",1235641,2019-12-01 02:07:01 UTC,,,
0EADW1XVVJSQ3ZDWHZY9RQJ7R9,"32.8,32.3,32.2,33.2,32.6,33.7,32.8,,39.9,,35.0, , 36.2,60.0,995.3,494.1,148.0",1235641,2019-12-01 02:07:16 UTC,,,
0EADW22EE0RFP84G9MPJYEMAWE,"32.9,32.5,32.2,33.2,32.6,33.6,35.5,,39.7,,35.2, , 36.2,60.1,995.2,494.1,147.4",1235641,2019-12-01 02:07:31 UTC,,,
0EADW270JXZ5P51GH8VECXT9ST,"33.3,32.5,32.3,33.3,32.6,33.6,40.1,,39.8,,35.3, , 36.1,60.6,995.3,494.1,146.2",1235641,2019-12-01 02:07:46 UTC,,,
0EADW2BK7NX39P7J4P04C4X8A2,"33.8,32.3,32.4,33.2,32.6,33.5,45.7,,39.8,,35.4, , 36.1,61.1,995.2,494.1,145.7",1235641,2019-12-01 02:08:01 UTC,,,
0EADW2G5JEKQTWMWT4BW7A4C5G,"34.4,32.5,32.5,33.2,32.6,33.5,50.8,,39.9,,35.4, , 36.0,61.6,995.2,494.1,145.2",1235641,2019-12-01 02:08:16 UTC,,,
0EADW2MQZ9895G7P4AH8NRKVR9,"35.2,32.5,32.6,33.2,32.6,33.5,56.2,,40.1,,35.4, , 36.0,62.0,995.2,494.1,145.6",1235641,2019-12-01 02:08:31 UTC,,,
0EADW2SAJP6N8KP58ZY9067R3X,"36.0,32.5,33.0,33.3,32.6,33.5,61.0,,40.8,,35.4, , 36.0,62.3,995.2,494.1,145.2",1235641,2019-12-01 02:08:46 UTC,,,
0EADW2XX1GF6ZTVJ95A9FF4985,"36.7,32.5,33.1,33.3,32.6,33.4,65.1,,40.9,,35.3, , 35.9,62.6,995.2,495.2,144.1",1235641,2019-12-01 02:09:01 UTC,,,
0EADW32FE0JSJZBVQKFNX3A82E,"37.4,32.5,33.3,33.3,32.6,33.4,69.1,,41.1,,35.5, , 35.9,62.8,995.2,495.8,144.1",1235641,2019-12-01 02:09:16 UTC,,,
0EADW371Y31X2N77JQQ2JPS8QE,"38.0,32.5,33.5,33.3,32.6,33.4,72.5,,41.5,,35.5, , 35.9,63.1,995.2,495.8,144.7",1235641,2019-12-01 02:09:31 UTC,,,
0EADW3BMG2PE6TN8FZXAQM8PSH,"38.7,32.5,33.7,33.3,32.6,33.4,75.7,,41.7,,35.7, , 35.9,63.4,995.2,496.3,144.6",1235641,2019-12-01 02:09:46 UTC,,,
0EADW3G77S12QWCE93CZ3WCFS9,"39.3,32.5,33.9,33.3,32.6,33.4,78.3,,42.2,,35.8, , 35.9,63.6,995.1,496.3,144.7",1235641,2019-12-01 02:10:01 UTC,,,
0EADW3MSADW26XZ3TS75N7881E,"39.8,32.6,34.1,33.4,32.8,33.5,80.6,,42.8,,35.7, , 35.9,63.7,995.2,498.8,144.0",1235641,2019-12-01 02:10:16 UTC,,,
0EADW3SC1HQH733YM3JMHVEZ5H,"40.4,32.6,34.3,33.4,32.6,33.4,83.0,,43.4,,35.7, , 35.9,63.9,995.2,498.8,144.5",1235641,2019-12-01 02:10:31 UTC,,,
0EADW3XYX7YHX44S5THDDCQ6JD,"40.7,32.6,34.6,33.4,32.6,33.4,84.9,,43.7,,35.7, , 35.8,64.1,995.1,498.8,143.9",1235641,2019-12-01 02:10:46 UTC,,,
